transaction_id,customer_id,transaction_amount,transaction_time,payment_method,product_category,customer_age,account_age_days,device_type,customer_location,previous_transaction_count,failed_transaction_count,is_new_device,is_new_location,night_transaction,is_fraud
TXN000001,CUST8270,738.33,2026-01-01 00:00:00,Net Banking,Sports,65,785,Desktop,Kolkata,26,9,0,0,0,0
TXN000002,CUST1860,225.84,2026-01-01 00:10:00,Wallet,Home,38,100,Tablet,Bhubaneswar,98,4,0,0,0,0
TXN000003,CUST6390,877.63,2026-01-01 00:20:00,Debit Card,Sports,25,2339,Tablet,Bhubaneswar,54,9,0,0,0,0
TXN000004,CUST6191,437.25,2026-01-01 00:30:00,Net Banking,Beauty,35,934,Tablet,Bhubaneswar,0,1,0,0,0,0
TXN000005,CUST6734,803.86,2026-01-01 00:40:00,Net Banking,Electronics,35,812,Desktop,Chennai,47,1,0,0,0,0
TXN000006,CUST7265,150.61,2026-01-01 00:50:00,Debit Card,Clothing,42,12,Mobile,Bhubaneswar,15,1,0,0,0,0
TXN000007,CUST1466,375.99,2026-01-01 01:00:00,Wallet,Beauty,53,693,Desktop,Hyderabad,40,7,0,0,1,0
TXN000008,CUST5426,1364.82,2026-01-01 01:10:00,Wallet,Home,42,2323,Desktop,Hyderabad,1,5,0,0,0,1
TXN000009,CUST6578,2009.22,2026-01-01 01:20:00,UPI,Home,23,1305,Tablet,Mumbai,46,5,1,1,1,1
TXN000010,CUST9322,765.44,2026-01-01 01:30:00,Net Banking,Beauty,47,100,Desktop,Bhubaneswar,58,3,0,0,0,0
TXN000011,CUST2685,389.14,2026-01-01 01:40:00,Wallet,Grocery,31,1322,Mobile,Pune,50,0,0,0,1,0
TXN000012,CUST1769,284.69,2026-01-01 01:50:00,Debit Card,Electronics,40,1541,Mobile,Chennai,20,5,1,0,1,1
TXN000013,CUST7949,244.59,2026-01-01 02:00:00,Debit Card,Beauty,34,2349,Desktop,Bhubaneswar,18,6,0,0,0,0
TXN000014,CUST3433,244.14,2026-01-01 02:10:00,Debit Card,Home,66,1684,Mobile,Chennai,79,7,0,0,0,0
TXN000015,CUST6311,211.21,2026-01-01 02:20:00,Net Banking,Beauty,29,1,Desktop,Kolkata,79,6,1,0,0,0
TXN000016,CUST6051,452.75,2026-01-01 02:30:00,Credit Card,Home,25,2429,Tablet,Bangalore,7,1,1,1,0,0
TXN000017,CUST7420,274.36,2026-01-01 02:40:00,Wallet,Electronics,33,533,Desktop,Bangalore,40,2,1,0,0,0
TXN000018,CUST2184,856.27,2026-01-01 02:50:00,Credit Card,Grocery,21,1536,Mobile,Pune,50,2,0,1,0,0
TXN000019,CUST5555,706.61,2026-01-01 03:00:00,Credit Card,Home,18,445,Tablet,Delhi,74,9,0,1,0,1
TXN000020,CUST4385,1476.63,2026-01-01 03:10:00,UPI,Clothing,61,42,Mobile,Bangalore,73,8,0,0,1,1
TXN000021,CUST7396,867.88,2026-01-01 03:20:00,Debit Card,Home,58,437,Mobile,Bangalore,48,0,0,0,0,0
TXN000022,CUST9666,1139.28,2026-01-01 03:30:00,Debit Card,Sports,58,304,Desktop,Delhi,53,8,0,0,1,1
TXN000023,CUST3558,217.43,2026-01-01 03:40:00,Debit Card,Clothing,33,2378,Mobile,Bhubaneswar,47,9,0,0,0,0
TXN000024,CUST8849,804.2,2026-01-01 03:50:00,Wallet,Electronics,51,1127,Desktop,Mumbai,72,0,0,0,0,0
TXN000025,CUST3047,632.22,2026-01-01 04:00:00,Debit Card,Home,62,850,Desktop,Bangalore,14,0,0,0,0,0
TXN000026,CUST3747,68.38,2026-01-01 04:10:00,Debit Card,Home,21,84,Tablet,Delhi,68,0,0,0,1,0
TXN000027,CUST1189,466.0,2026-01-01 04:20:00,UPI,Beauty,61,1809,Mobile,Kolkata,23,5,0,0,0,0
TXN000028,CUST3734,180.3,2026-01-01 04:30:00,UPI,Grocery,21,1522,Mobile,Mumbai,95,0,0,0,1,0
TXN000029,CUST4005,107.59,2026-01-01 04:40:00,Credit Card,Grocery,66,414,Tablet,Bangalore,18,1,0,0,1,0
TXN000030,CUST5658,361.27,2026-01-01 04:50:00,Wallet,Clothing,36,604,Tablet,Bangalore,96,9,0,1,0,0
TXN000031,CUST2899,261.45,2026-01-01 05:00:00,Credit Card,Home,37,2003,Desktop,Kolkata,22,1,0,0,0,0
TXN000032,CUST8734,231.99,2026-01-01 05:10:00,Wallet,Clothing,59,1882,Tablet,Bangalore,27,2,0,0,0,0
TXN000033,CUST2267,116.9,2026-01-01 05:20:00,Net Banking,Clothing,46,747,Mobile,Hyderabad,89,1,0,0,0,0
TXN000034,CUST2528,2916.18,2026-01-01 05:30:00,UPI,Grocery,35,1886,Tablet,Chennai,59,5,0,0,0,1
TXN000035,CUST4556,141.75,2026-01-01 05:40:00,Debit Card,Clothing,34,2110,Tablet,Hyderabad,49,6,0,0,1,0
TXN000036,CUST4890,351.84,2026-01-01 05:50:00,Credit Card,Beauty,44,4,Mobile,Hyderabad,75,1,0,1,1,0
TXN000037,CUST9838,974.85,2026-01-01 06:00:00,Debit Card,Sports,55,1818,Desktop,Mumbai,64,5,1,0,0,1
TXN000038,CUST6393,1310.91,2026-01-01 06:10:00,UPI,Sports,40,1819,Tablet,Bhubaneswar,96,7,0,0,0,1
TXN000039,CUST9792,163.74,2026-01-01 06:20:00,Credit Card,Sports,25,1821,Desktop,Delhi,11,7,0,0,0,0
TXN000040,CUST9433,396.08,2026-01-01 06:30:00,Wallet,Home,20,1521,Desktop,Kolkata,55,7,0,0,0,0
TXN000041,CUST8513,857.1,2026-01-01 06:40:00,Wallet,Electronics,60,1597,Mobile,Hyderabad,94,0,0,0,0,0
TXN000042,CUST3612,663.8,2026-01-01 06:50:00,Debit Card,Beauty,44,865,Mobile,Kolkata,80,7,0,1,0,1
TXN000043,CUST8041,721.14,2026-01-01 07:00:00,Wallet,Sports,38,1182,Desktop,Mumbai,26,2,0,0,0,0
TXN000044,CUST7235,149.38,2026-01-01 07:10:00,Debit Card,Clothing,66,387,Mobile,Chennai,84,5,0,0,0,0
TXN000045,CUST6486,215.8,2026-01-01 07:20:00,Credit Card,Clothing,43,2216,Mobile,Bhubaneswar,45,8,0,0,1,0
TXN000046,CUST8099,423.45,2026-01-01 07:30:00,Debit Card,Sports,54,520,Tablet,Chennai,41,5,0,0,0,0
TXN000047,CUST1775,360.61,2026-01-01 07:40:00,Net Banking,Sports,55,983,Tablet,Chennai,55,2,0,0,1,0
TXN000048,CUST9226,580.8,2026-01-01 07:50:00,Credit Card,Beauty,61,1746,Desktop,Bangalore,76,1,0,0,0,0
TXN000049,CUST4152,171.27,2026-01-01 08:00:00,Debit Card,Clothing,41,2317,Tablet,Bangalore,89,6,0,0,0,0
TXN000050,CUST2585,1308.35,2026-01-01 08:10:00,Wallet,Home,68,2266,Mobile,Pune,54,8,0,0,0,1
TXN000051,CUST4943,149.57,2026-01-01 08:20:00,Debit Card,Sports,43,1333,Tablet,Kolkata,5,2,0,0,0,0
TXN000052,CUST8555,620.51,2026-01-01 08:30:00,Wallet,Electronics,36,1634,Mobile,Bangalore,90,1,0,0,0,0
TXN000053,CUST4073,218.51,2026-01-01 08:40:00,Net Banking,Clothing,33,909,Desktop,Chennai,40,4,0,0,0,0
TXN000054,CUST2021,377.98,2026-01-01 08:50:00,Net Banking,Home,23,330,Desktop,Mumbai,80,7,0,0,1,0
TXN000055,CUST4843,112.93,2026-01-01 09:00:00,Wallet,Grocery,62,1095,Mobile,Chennai,92,0,0,0,1,0
TXN000056,CUST8989,416.54,2026-01-01 09:10:00,Credit Card,Electronics,63,2224,Tablet,Chennai,61,1,0,0,0,0
TXN000057,CUST7873,958.49,2026-01-01 09:20:00,Wallet,Grocery,69,99,Desktop,Hyderabad,82,2,0,0,0,0
TXN000058,CUST6675,1747.32,2026-01-01 09:30:00,Debit Card,Clothing,51,2064,Desktop,Chennai,55,7,0,0,0,1
TXN000059,CUST1161,446.8,2026-01-01 09:40:00,Credit Card,Grocery,30,742,Tablet,Bhubaneswar,20,2,0,0,0,0
TXN000060,CUST5297,145.74,2026-01-01 09:50:00,Credit Card,Grocery,57,1545,Tablet,Bangalore,30,8,1,0,0,0
TXN000061,CUST1995,1113.64,2026-01-01 10:00:00,Debit Card,Sports,30,1802,Mobile,Mumbai,27,7,0,0,0,1
TXN000062,CUST8629,697.14,2026-01-01 10:10:00,Credit Card,Sports,61,2214,Desktop,Kolkata,9,2,0,0,0,0
TXN000063,CUST2016,416.12,2026-01-01 10:20:00,Debit Card,Home,52,269,Tablet,Bangalore,27,8,0,0,1,0
TXN000064,CUST8869,286.91,2026-01-01 10:30:00,UPI,Sports,46,91,Desktop,Kolkata,46,0,1,0,0,0
TXN000065,CUST7439,436.58,2026-01-01 10:40:00,Net Banking,Beauty,57,1123,Desktop,Pune,91,2,0,0,1,0
TXN000066,CUST8892,507.23,2026-01-01 10:50:00,UPI,Home,21,669,Mobile,Bhubaneswar,28,5,0,0,0,0
TXN000067,CUST7863,1107.19,2026-01-01 11:00:00,UPI,Home,51,663,Tablet,Pune,84,6,0,1,0,1
TXN000068,CUST8916,211.06,2026-01-01 11:10:00,Net Banking,Grocery,56,1137,Tablet,Bangalore,8,3,0,0,1,0
TXN000069,CUST9529,250.51,2026-01-01 11:20:00,UPI,Clothing,20,188,Desktop,Bhubaneswar,29,0,0,0,0,0
TXN000070,CUST1878,389.6,2026-01-01 11:30:00,Wallet,Beauty,60,1839,Mobile,Pune,93,2,0,0,0,0
TXN000071,CUST5887,126.74,2026-01-01 11:40:00,Net Banking,Grocery,45,2498,Mobile,Delhi,61,6,1,0,0,0
TXN000072,CUST5859,980.18,2026-01-01 11:50:00,UPI,Electronics,20,2478,Desktop,Delhi,87,6,0,0,0,0
TXN000073,CUST7331,889.97,2026-01-01 12:00:00,Net Banking,Clothing,58,2055,Desktop,Kolkata,85,4,0,0,0,0
TXN000074,CUST9571,663.75,2026-01-01 12:10:00,Net Banking,Beauty,42,1696,Tablet,Mumbai,51,5,0,0,1,1
TXN000075,CUST9684,5542.8,2026-01-01 12:20:00,Net Banking,Grocery,54,169,Mobile,Pune,15,3,0,0,0,1
TXN000076,CUST8208,972.71,2026-01-01 12:30:00,Wallet,Electronics,19,1928,Mobile,Mumbai,29,5,0,0,0,0
TXN000077,CUST6276,1891.53,2026-01-01 12:40:00,Wallet,Grocery,22,2160,Mobile,Bangalore,49,7,0,0,0,1
TXN000078,CUST3062,523.77,2026-01-01 12:50:00,Debit Card,Clothing,67,1450,Desktop,Bangalore,46,6,0,1,0,1
TXN000079,CUST1064,284.73,2026-01-01 13:00:00,Debit Card,Sports,58,1234,Desktop,Chennai,0,3,1,0,0,0
TXN000080,CUST9006,116.89,2026-01-01 13:10:00,Wallet,Clothing,20,1942,Mobile,Delhi,50,2,0,0,0,0
TXN000081,CUST3568,669.34,2026-01-01 13:20:00,Net Banking,Clothing,19,1388,Mobile,Mumbai,10,5,0,0,0,0
TXN000082,CUST6463,846.42,2026-01-01 13:30:00,Credit Card,Sports,42,1617,Mobile,Bangalore,82,2,0,0,0,0
TXN000083,CUST3027,1248.42,2026-01-01 13:40:00,Debit Card,Sports,44,2001,Mobile,Hyderabad,13,5,1,0,0,1
TXN000084,CUST3695,298.03,2026-01-01 13:50:00,Debit Card,Home,68,2082,Desktop,Bangalore,95,0,0,0,0,0
TXN000085,CUST6258,959.87,2026-01-01 14:00:00,Credit Card,Sports,18,985,Desktop,Pune,8,4,0,0,0,0
TXN000086,CUST6618,134.57,2026-01-01 14:10:00,Credit Card,Sports,48,211,Tablet,Kolkata,58,5,0,0,0,0
TXN000087,CUST7736,539.24,2026-01-01 14:20:00,Debit Card,Clothing,55,905,Mobile,Hyderabad,83,3,0,0,1,0
